publishedAt,authorDisplayName,textDisplay
2024-01-01T04:29:58Z,@jeffreyadamm6539,"KOKOH  BOTAK  DEDI  CORBUZIER  JANGAN  MEM PROVOKASI  YAH,    NGAK  ADA  YG  SALAH  DGN  BINCANG2 ELIA MYRON,   JANGAN  KEPO  DAN  SOK  TAU.    BIARKAN  DIA   MENYAMPAIKAN  APA  YG  DIA  KETAHUI,   NGAK  ADA  URUSANNYA  DGN  LU  DEDI.  LU  URUS  AJA  DIRI  LU  DAN  IMAN  LU,    JANGAN  KEPO  KEPO  GITU,  LU  TAU  APA  DALAM HAL  INI."
2024-01-01T03:52:47Z,@agusyuniar3886,Cerdas ente Ded
2024-01-01T03:40:29Z,@kamtitini2076,"Indah g dan elia itu ga ngerti tinggal di mana dua orang itu  ya...ga paham Pembukaan UUD 1945, baru pembukaanya lho..lihat tu d dengarkn tu orang papua"
2024-01-01T03:00:02Z,@HarygirawanGirawan-pi9vw,Kaya yng namanya indah seharusnya ucapanya jarus lbih indah** cuman kalaow ga mau bantu palistin gpp cuman jaga bacotnya ga usah propfokatip**
2024-01-01T02:41:36Z,@user-bx2mi7xn4b,"Salut sy bang Ded hal seperti ini bisa diungkapkan Semoga semua orang tahu keyakinan tidak bisa untuk diperdebatkan dan untuk main main ,hanya orang yang kurang wawasan dan sok tahu yg melakukan  hal seperti ini"
2024-01-01T00:38:33Z,@itohmarsitoh2698,Suruh baca uud 1945
2024-01-01T00:37:32Z,@anggaipang1989,"Orang ibadsh aja diubarkan, bahkan gereja dibakar mana loh ded pembelaanloh. Itumah cuma presiden jokowi tapi kadroon2 mana peduli."
2024-01-01T00:37:28Z,@itohmarsitoh2698,Jaman belanda pejuang khususnya para ulama disebut pemberontak nah hamas berkuang demi kemwrdekaan negaranya sama dg pahlawan dylu hamas debest
2023-12-31T23:32:20Z,@nanisekarningsihmpd3475,❤❤❤  Barokawlaah Om Ded
2023-12-31T23:02:57Z,@ZahraZahra-ix2kv,"Saya tidak membela Palestin      karena agama  tapi saya sesama manusia yana mengingin kan kemerdekaan  dan saya tau dan banyak mendengar dari cerita orang2 yang pernah mengalami berapa sakit dan kejam nya penjajahan itu, dimana bukan hanya makanan  minuman tapi rumah  harta dan bahkan agama juga mereka paksa kan agar  ikut agama meraka penjajah"
2023-12-31T22:39:34Z,@user-vo2mt6jq9p,"Banyak tu sebelum ini yang masuk kamar Kristen tapi lu diam aja om Dedy,,,,apa lu gak berani ya ,,,,apa kabar tu Donny Tan,,UAS dll,,,selalu masuk kamar orang lain,,,"
2023-12-31T19:46:29Z,@ajitan5073,"halah,si haikal pick data that suit his opinion di podcast lu tapi lu diam aja karena his opinion also suit you too kah?and then when its not suit ur opinion u get mad and become hypocrite?"
